,LocID,LocNomLocMJSP,LocGeog,LocAtv,EmpID,LocLat,LocLong,LocMunGeoId,MunGeoNom,UFGeoSgl,nearest_node,nearest_edge_1,nearest_edge_2,edge_key,street_type_crossing,street_type_mini_roundabout,street_type_motorway_junction,street_type_traffic_signals,street_type_turning_circle,street_type_unknown
586,13499,SP - CACAPAVA - SP070 - ROD  GOV CARVALHO PINTO - KM 114 - SENT OESTE - FX2,0xE6100000010C406A1327F72737C0DEAAEB504DD946C0,1,9,-23.156115,-45.697672,3000,CACAPAVA,SP,1671356849,7920616996,7916315154,0,0.0,0.0,0.0,0.0,0.0,1.0
587,13500,"SP - SAO PAULO - AV SEN TEOTONIO VILELA, OPOSTO NUM 1.583 - SENT AV ATLANTICA",0xE6100000010C8104C58F31B737C01A51DA1B7C5947C0,1,9,-23.7156,-46.6991,5542,SAO PAULO,SP,2513875658,7285515451,539177683,0,0.0,0.0,0.0,0.0,0.0,1.0
591,13504,SP - CAMPINAS - ROD  HEITOR PENTEADO - SENT ENTRADA - FX1,0xE6100000010C5A457F68E6E536C088F4DBD7818147C0,1,9,-22.898047,-47.011775,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
592,13505,SP - CAMPINAS - ROD  HEITOR PENTEADO - SENT SAIDA - FX1,0xE6100000010C5A457F68E6E536C088F4DBD7818147C0,1,9,-22.898047,-47.011775,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
593,13506,SP - CAMPINAS - AV  LIX DA CUNHA - SENT SAIDA - FX2,0xE6100000010C3D49BA66F2E536C0FCA5457D928D47C0,1,9,-22.89823,-47.106033,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
594,13507,SP - CAMPINAS - AV  LIX DA CUNHA - SENT ENTRADA - FX1,0xE6100000010C3D49BA66F2E536C0FCA5457D928D47C0,1,9,-22.89823,-47.106033,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
595,13508,SP - CAMPINAS - AV  LIX DA CUNHA - SENT ENTRADA - FX3,0xE6100000010C3D49BA66F2E536C0FCA5457D928D47C0,1,9,-22.89823,-47.106033,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
596,13509,SP - CAMPINAS - ROD  ENG MIGUEL NOEL NASCENTES BURNIER - SENT ENTRADA - FX2,0xE6100000010CBDAB1E300FD936C0E8887C97528547C0,1,9,-22.847888,-47.041583,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
597,13510,SP - CAMPINAS - AV  ISAURA ROQUE QUERCIA - SENT ENTRADA - FX2,0xE6100000010C2250FD8348E236C05036E50AEF8047C0,1,9,-22.883919,-47.007295,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
598,13511,SP - CAMPINAS - AV  ISAURA ROQUE QUERCIA - SENT SAIDA - FX2,0xE6100000010C2250FD8348E236C05036E50AEF8047C0,1,9,-22.883919,-47.007295,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
599,13512,SP - CAMPINAS - AV  MACKENZIE - SAIDA - FX1,0xE6100000010CE694809884E336C0ACE5CE4C308247C0,1,9,-22.888742,-47.017099,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
600,13513,SP - CAMPINAS - AV  JOSE BONIFACIO - SAIDA - FX1,0xE6100000010C3C69E1B20AE736C0D192C7D3F28347C0,1,9,-22.902507,-47.030848,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
601,13514,SP - CAMPINAS - AV  ISAURA ROQUE QUERCIA - ENTREVERDES - ENTRADA - FX1,0xE6100000010CEB8B84B69CE336C01C7C6132558247C0,1,9,-22.88911,-47.018225,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
602,13515,SP - CAMPINAS - AV  ISAURA ROQUE QUERCIA - ENTREVERDES - SAIDA - FX2,0xE6100000010CEB8B84B69CE336C01C7C6132558247C0,1,9,-22.88911,-47.018225,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
603,13516,SP - CAMPINAS - AV  JOHN BOYD DUNLOP N 1040 - ENTRADA - FX3,0xE6100000010C57B1F84D61E936C0B84A66AB818C47C0,1,9,-22.911641,-47.0977072,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
604,13517,SP - CAMPINAS - RUA EGBERTO FERREIRA DE ARRUDA CAMARGO - NOTRE DAME - ENTRADA - FX2,0xE6100000010CD57B2AA73DE536C0F7B3B343578047C0,1,9,-22.895472,-47.0026631,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
605,13518,SP - CAMPINAS - AV  PRESTES MAIA - TREVO - SAIDA - FX2,0xE6100000010C47E5266A69EE36C071935165188947C0,1,9,-22.931296,-47.071057,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
606,13519,SP - CAMPINAS - AV  PRESTES MAIA - TREVO - SAIDA - FX3,0xE6100000010C47E5266A69EE36C071935165188947C0,1,9,-22.931296,-47.071057,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
607,13520,SP - CAMPINAS - AV  CARLOS GRIMALDI 237 - ENTRADA - FX1,0xE6100000010C1E6B4606B9DF36C03BFDA02E528447C0,1,9,-22.873917,-47.033758,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
608,13521,SP - CAMPINAS - AV  PRESTES MAIA - PONTE - ENTRADA - FX2,0xE6100000010CE108522976EC36C039268BFB8F8847C0,1,9,-22.923678,-47.066894,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
609,13522,SP - CAMPINAS - AV  JOHN BOYD DUNLOP- JBD - TRANSAMAZONICA - SAIDA - FX2,0xE6100000010CE49F19C407EA36C09DBCC804FC8C47C0,1,9,-22.914181,-47.101441,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
610,13523,SP - CAMPINAS - SP-332 - TAPETAO - SAIDA - FX2,0xE6100000010C88F4DBD781DF36C0ADFA5C6DC58847C0,1,9,-22.873075,-47.068525,4198,CAMPINAS,SP,1102331648,1102331648,582557,0,0.0,0.0,1.0,0.0,0.0,0.0
